Date,Ave_pH_Level,TotalWater_PerInch,Ave_TempinC,ProductionMT,Area_HarvestedHA,Yield/Hectare
1995,5.9,14.5,30.1,12546,11562,1.26
1996,5.9,15.2,30.4,15652,14323,1.29
1997,6.1,14.3,30.5,17266,16852,1.38
1998,6.1,13.8,31.2,17900,16526,1.42
1999,6.1,13.8,31.3,18262,17202,1.44
2000,6.2,13.9,31.4,21032,20246,1.49
2001,6.2,13.7,31.4,23541,20223,1.51
2002,6.2,14.8,31.4,23568,22540,1.51
2003,6.2,14.8,31.4,26512,25623,1.53
2004,6.2,14.5,31.5,26998,25987,1.56
2005,6.2,14.2,31.7,28521,26512,1.6
2006,6.2,14.9,32.2,30254,28542,1.61
2007,6.2,14.7,32.4,31262,30254,1.62
2008,6.3,13.5,32.4,32654,30658,1.65
2009,6.3,15.2,32.7,34685,32654,1.69
2010,6.3,14.3,32.9,35684,33651,1.69
2011,6.4,15.6,32.9,37524,35751,1.7
2012,6.4,14.3,33.1,37985,36552,1.74
2013,6.4,14.1,33.3,38413,36987,1.75
2014,6.5,16.3,34,40326,38524,1.79
2015,6.5,14,34.2,42356,39541,1.79
2016,6.5,14.2,34.2,43252,39899,1.8
2017,6.6,15.3,34.5,45236,40103,1.82
2018,6.8,15.6,35.2,46875,42103,1.85
